,Общая,Жилая,Кухня,Этаж,Тип жилья,Планировка,Площадь комнат+ обозначение смежных комнат- обозначение изолированных комнат,Балкон/лоджия,Вид из окон,Отделка,Цена,Комнат,Район,Линк,Построен,Срок сдачи,Санузел,Высота потолков,Ремонт
1,64,44,5,19,Новостройка,Изолированная,14-16-14 м²,1 лоджия,Во двор,Нет,5700000,3-комн.,р-н Приволжский,https://kazan.cian.ru/sale/flat/196697380/,,,,,
2,28,,,1,Вторичка,,,,,,1950000,1-комн.,р-н Ново,https://kazan.cian.ru/sale/flat/242894691/,,,,,
3,73,40,9,2,Вторичка,,,,,,6550000,3-комн.,р-н Ново,https://kazan.cian.ru/sale/flat/225127686/,,,,,
4,46,,,5,Вторичка,,,1 балкон,,,3500000,1-комн.,р-н Советский,https://kazan.cian.ru/sale/flat/245745468/,1973,,,,
5,71,26,21,3,Новостройка,,26.75 м²,1 лоджия,,Черновая,8639000,2-комн.,р-н Советский,https://kazan.cian.ru/sale/flat/240243913/,,2,"1 совмещенный, 1 раздельный",,
6,37,13,13,9,Вторичка,,,,,,2490000,2-комн.,р-н Ново,https://kazan.cian.ru/sale/flat/243338639/,1992,,,"2,6 м",
7,67,43,8,4,Вторичка,,,,,,5200000,3-комн.,р-н Ново,https://kazan.cian.ru/sale/flat/244599607/,,,,,
8,60,,,3,Вторичка,,,1 балкон,,,7300000,2-комн.,р-н Ново,https://kazan.cian.ru/sale/flat/245426395/,,,1 раздельный,,Косметический
9,45,15,13,21,Вторичка,,15 м²,1 лоджия,,,3899000,1-комн.,р-н Приволжский,https://kazan.cian.ru/sale/flat/238344788/,,,1 совмещенный,,Без ремонта
10,29,18,3,3,Вторичка,,,,,,4400000,1-комн.,р-н Вахитовский,https://kazan.cian.ru/sale/flat/244940834/,1917,,,"2,41 м",
11,19,,,2,Вторичка,,,1 балкон,На улицу,,2520000,1-комн.,р-н Авиастроительный,https://kazan.cian.ru/sale/flat/239974667/,1976,,1 совмещенный,"2,64 м",Без ремонта
12,190,,26,2,Вторичка,,,2 балкона,,,14000000,5-комн.,р-н Приволжский,https://kazan.cian.ru/sale/flat/245246649/,2004,,2 раздельных,,Евроремонт
13,142,91,,3,Вторичка,,,,,,22500000,3-комн.,р-н Вахитовский,https://kazan.cian.ru/sale/flat/233019965/,,,1 совмещенный,,
14,32,,,11,Новостройка,,,1 балкон,,,3850000,"Студия,",р-н Советский,https://kazan.cian.ru/sale/flat/245225999/,,,,,
15,30,,,2,Новостройка,,,1 балкон,,Нет,2400000,1-комн.,р-н Приволжский,https://kazan.cian.ru/sale/flat/222686627/,,4,1 совмещенный,,
16,52,25,14,4,Новостройка,Изолированная,13-12 м²,1 балкон,Во двор,Нет,5310000,2-комн.,р-н Советский,https://kazan.cian.ru/sale/flat/229849372/,,,1 совмещенный,,
17,73,42,11,17,Новостройка,,,1 балкон,Во двор,Чистовая,5418280,3-комн.,р-н Советский,https://kazan.cian.ru/sale/flat/244556872/,,3,"1 совмещенный, 1 раздельный",,
18,89,34,12,1,Вторичка,Изолированная,,1 балкон,,,4990000,3-комн.,р-н Советский,https://kazan.cian.ru/sale/flat/218231825/,,,1 раздельный,,
19,52,,,19,Вторичка,,,1 балкон,,,5250000,1-комн.,р-н Советский,https://kazan.cian.ru/sale/flat/245344563/,2018,,,,Без ремонта
20,76,42,12,17,Новостройка,Изолированная,12-12-18 м²,1 балкон,Во двор,Нет,5320000,3-комн.,р-н Советский,https://kazan.cian.ru/sale/flat/235671516/,,,1 раздельный,,
21,62,,,4,Вторичка,,,1 лоджия,,,5400000,3-комн.,р-н Вахитовский,https://kazan.cian.ru/sale/flat/245592807/,1989,,1 раздельный,"2,6 м",Косметический
22,35,18,5,1,Вторичка,,,,,,3090000,1-комн.,р-н Приволжский,https://kazan.cian.ru/sale/flat/245014229/,1974,,,0 м,
23,43,27,7,5,Вторичка,Изолированная,14-13 м²,,Во двор,,4100000,2-комн.,р-н Московский,https://kazan.cian.ru/sale/flat/243225900/,,,1 раздельный,,
24,87,,12,7,Вторичка,,,1 балкон,На улицу и двор,,7800000,3-комн.,р-н Советский,https://kazan.cian.ru/sale/flat/238885731/,2010,,1 совмещенный,"2,6 м",Евроремонт
25,37,15,9,14,Новостройка,,15.83 м²,1 балкон,Во двор,,3792245,1-комн.,р-н Советский,https://kazan.cian.ru/sale/flat/242013390/,,1,1 совмещенный,"2,6 м",
26,130,,,4,Вторичка,,,1 балкон,,,20000000,3-комн.,р-н Вахитовский,https://kazan.cian.ru/sale/flat/226867762/,2007,,,,Дизайнерский
27,41,12,19,8,Новостройка,,,1 балкон,Во двор,Нет,5100000,2-комн.,р-н Ново,https://kazan.cian.ru/sale/flat/228390885/,,1,1 совмещенный,,
28,30,12,8,13,Новостройка,,12.26 м²,1 балкон,Во двор,Черновая,3350000,1-комн.,р-н Приволжский,https://kazan.cian.ru/sale/flat/242879750/,,4,1 раздельный,,
29,35,18,11,1,Вторичка,,,,Во двор,,2150000,1-комн.,р-н Авиастроительный,https://kazan.cian.ru/sale/flat/239978089/,1967,,1 совмещенный,"2,48 м",Косметический
30,24,,,2,Вторичка,,,1 балкон,,,2050000,"Студия,",р-н Московский,https://kazan.cian.ru/sale/flat/245562111/,1955,,,,
31,87,,,9,Вторичка,,,1 балкон,,,5300000,4-комн.,р-н Советский,https://kazan.cian.ru/sale/flat/240405819/,1992,,,,Косметический
32,105,,,8,Вторичка,,,,,,9500000,3-комн.,р-н Ново,https://kazan.cian.ru/sale/flat/230692644/,2007,,,,Дизайнерский
33,29,,,5,Вторичка,,,1 балкон,,,3300000,1-комн.,р-н Приволжский,https://kazan.cian.ru/sale/flat/244703951/,1991,,,,
34,42,19,9,2,Новостройка,,19.26 м²,,,,4884000,2-комн.,р-н Советский,https://kazan.cian.ru/sale/flat/246044141/,,3,,,
35,95,53,9,9,Вторичка,Изолированная,"17,2+13,5+8+14,8 м²",2 лоджии,,,6999000,4-комн.,р-н Ново,https://kazan.cian.ru/sale/flat/235908557/,1994,,1 раздельный,"2,51 м",Косметический
36,150,97,17,4,Вторичка,Изолированная,20-19-14-44 м²,,На улицу и двор,,12700000,4-комн.,р-н Вахитовский,https://kazan.cian.ru/sale/flat/217228778/,,,2 совмещенных,,Дизайнерский
37,76,,,4,Вторичка,,,1 балкон,,,7200000,3-комн.,р-н Ново,https://kazan.cian.ru/sale/flat/245629708/,2012,,,,
38,118,40,22,1,Новостройка,,,1 балкон,На улицу и двор,,10152000,3-комн.,р-н Советский,https://kazan.cian.ru/sale/flat/245804549/,,3,2 совмещенных,,
39,42,27,7,2,Вторичка,,,,На улицу,,2200000,1-комн.,р-н Советский,https://kazan.cian.ru/sale/flat/245444785/,,,1 совмещенный,3 м,Косметический
40,114,62,17,5,Вторичка,Изолированная,21.9-20.3-20 м²,2 балкона,На улицу и двор,,10250000,3-комн.,р-н Вахитовский,https://kazan.cian.ru/sale/flat/245106848/,,,2 совмещенных,3 м,
41,60,,,8,Вторичка,,,1 балкон,,,6280000,2-комн.,р-н Ново,https://kazan.cian.ru/sale/flat/239370804/,1978,,,,Косметический
42,35,,7,7,Вторичка,,18 м²,1 балкон,,,3480000,1-комн.,р-н Ново,https://kazan.cian.ru/sale/flat/243170423/,1978,,,,Косметический
43,43,,,8,Новостройка,,,1 балкон,,,6200000,1-комн.,р-н Ново,https://kazan.cian.ru/sale/flat/244844242/,,,,,
44,47,,,8,Новостройка,,,2 балкона,,Черновая,5725000,1-комн.,р-н Ново,https://kazan.cian.ru/sale/flat/214676965/,,3,2 совмещенных,,
45,94,,,2,Вторичка,,,1 балкон,,,8000000,4-комн.,р-н Приволжский,https://kazan.cian.ru/sale/flat/240339685/,2010,,,,Без ремонта
46,30,,,1,Вторичка,,,1 балкон,,,2700000,1-комн.,р-н Авиастроительный,https://kazan.cian.ru/sale/flat/245445584/,1959,,,,
47,65,40,8,2,Вторичка,,,1 лоджия,,,5000000,3-комн.,р-н Ново,https://kazan.cian.ru/sale/flat/245814909/,,,1 раздельный,"2,7 м",
48,60,,,4,Вторичка,,,1 балкон,,,4050000,3-комн.,р-н Советский,https://kazan.cian.ru/sale/flat/246012105/,1966,,,,Косметический
49,76,53,11,7,Вторичка,Изолированная,11.5-17-11 м²,1 балкон,На улицу,,6700000,3-комн.,р-н Советский,https://kazan.cian.ru/sale/flat/237796249/,2019,,1 совмещенный,"2,7 м",Без ремонта
50,72,29,17,2,Вторичка,Изолированная,,1 лоджия,На улицу и двор,,10650000,2-комн.,р-н Вахитовский,https://kazan.cian.ru/sale/flat/243614424/,2019,,2 раздельных,3 м,Без ремонта
51,63,33,11,1,Вторичка,,,1 балкон,,,5990000,2-комн.,р-н Ново,https://kazan.cian.ru/sale/flat/197853390/,2008,,1 раздельный,,Косметический
52,52,,14,8,Новостройка,,,1 балкон,,,5500000,2-комн.,р-н Советский,https://kazan.cian.ru/sale/flat/231966689/,,,,,
53,131,,,1,Вторичка,Смежно-изолированная,,,,,8920000,3-комн.,р-н Приволжский,https://kazan.cian.ru/sale/flat/245509045/,,,,,
54,48,,12,5,Вторичка,,,1 балкон,,,4900000,1-комн.,р-н Московский,https://kazan.cian.ru/sale/flat/243723258/,2008,,1 совмещенный,,Евроремонт
55,20,11,4,5,Вторичка,,"11,8 м²",1 балкон,На улицу,,2300000,1-комн.,р-н Авиастроительный,https://kazan.cian.ru/sale/flat/240479756/,1980,,1 совмещенный,"2,64 м",Косметический
56,50,29,8,1,Вторичка,,,,,,3900000,2-комн.,р-н Ново,https://kazan.cian.ru/sale/flat/243033476/,1976,,,"2,5 м",
57,47,31,6,1,Вторичка,,,,,,3600000,2-комн.,р-н Московский,https://kazan.cian.ru/sale/flat/245511628/,1962,,,"2,6 м",
58,18,,,6,Вторичка,,,,Во двор,,1700000,"Студия,",р-н Приволжский,https://kazan.cian.ru/sale/flat/245670688/,1979,,1 совмещенный,,Евроремонт
59,35,,8,10,Новостройка,,,1 балкон,,,3190000,1-комн.,р-н Приволжский,https://kazan.cian.ru/sale/flat/242741735/,,,,,
60,52,,,8,Вторичка,,,1 балкон,,,5150000,2-комн.,р-н Авиастроительный,https://kazan.cian.ru/sale/flat/245075999/,1989,,,,Дизайнерский
61,40,18,12,6,Новостройка,,18.4 м²,,Во двор,Нет,5600000,1-комн.,р-н Советский,https://kazan.cian.ru/sale/flat/244270748/,,,,,
62,63,,,5,Вторичка,,,,,,4750000,4-комн.,р-н Кировский,https://kazan.cian.ru/sale/flat/240929301/,1983,,,"2,5 м",Косметический
63,46,,,4,Новостройка,,,,,Черновая,5058350,1-комн.,р-н Советский,https://kazan.cian.ru/sale/flat/243233648/,,1,,,
64,62,31,12,6,Вторичка,,,1 балкон,,,6999000,2-комн.,р-н Московский,https://kazan.cian.ru/sale/flat/217719683/,2007,,1 совмещенный,,
65,81,42,11,1,Новостройка,,42.02 м²,1 лоджия,,,8640000,3-комн.,р-н Вахитовский,https://kazan.cian.ru/sale/flat/227969661/,,3,1 раздельный,,
66,150,77,9,4,Вторичка,Смежно-изолированная,"31,7-26,4+19,7 м²",2 лоджии,На улицу и двор,,12500000,3-комн.,р-н Вахитовский,https://kazan.cian.ru/sale/flat/244074823/,2005,,1 совмещенный,3 м,Евроремонт
67,162,102,14,4,Вторичка,Изолированная,,2 балкона,На улицу и двор,,6550000,4-комн.,р-н Советский,https://kazan.cian.ru/sale/flat/225484602/,2001,,2 раздельных,,Косметический
68,18,,,9,Вторичка,,,,,,1580000,1-комн.,р-н Приволжский,https://kazan.cian.ru/sale/flat/232066724/,1979,,,0 м,
69,54,,8,1,Вторичка,Изолированная,,1 лоджия,Во двор,,5000000,2-комн.,р-н Ново,https://kazan.cian.ru/sale/flat/203860153/,2003,,1 раздельный,,Евроремонт
70,45,15,14,6,Вторичка,,15 м²,1 балкон,Во двор,,8800000,1-комн.,р-н Вахитовский,https://kazan.cian.ru/sale/flat/239978936/,2019,,1 совмещенный,3 м,Евроремонт
71,67,37,12,1,Вторичка,,,1 балкон,,,5968626,2-комн.,р-н Приволжский,https://kazan.cian.ru/sale/flat/244753083/,2020,,1 раздельный,"2,8 м",Без ремонта
72,50,33,8,3,Вторичка,,,,,,3390000,2-комн.,р-н Московский,https://kazan.cian.ru/sale/flat/245455669/,1956,,,"2,9 м",
73,65,,,22,Вторичка,,,1 балкон,,,6500000,2-комн.,р-н Советский,https://kazan.cian.ru/sale/flat/245150294/,2015,,,,
74,107,62,14,7,Вторичка,Изолированная,,"1 балкон, 1 лоджия",На улицу и двор,,9100000,3-комн.,р-н Приволжский,https://kazan.cian.ru/sale/flat/245365327/,2006,,1 совмещенный,"2,5 м",Косметический
75,46,22,12,3,Новостройка,Изолированная,10.9-11.2 м²,1 лоджия,Во двор,Черновая,4930000,2-комн.,р-н Советский,https://kazan.cian.ru/sale/flat/231092441/,,,1 совмещенный,,
76,80,54,20,16,Вторичка,,,3 балкона,,,7500000,2-комн.,р-н Приволжский,https://kazan.cian.ru/sale/flat/234381469/,2009,,,"2,7 м",Евроремонт
77,227,149,14,3,Вторичка,,"26,6-39,4-32,4-29,8 м²",1 лоджия,На улицу и двор,,22700000,4-комн.,р-н Вахитовский,https://kazan.cian.ru/sale/flat/223940114/,2007,,"1 совмещенный, 2 раздельных","3,4 м",Косметический
78,56,,,4,Новостройка,,,,На улицу и двор,Черновая,5719680,1-комн.,р-н Ново,https://kazan.cian.ru/sale/flat/245892221/,,4,,,
79,120,120,,16,Новостройка Апартаменты,,,3 балкона,На улицу,,18000000,Апартам,р-н Вахитовский,https://kazan.cian.ru/sale/flat/242818042/,,3,2 раздельных,,
80,31,14,,13,Новостройка,,14.50 м²,1 балкон,,,3052696,1-комн.,р-н Приволжский,https://kazan.cian.ru/sale/flat/231523083/,,2,1 совмещенный,"2,62 м",
81,30,,,23,Вторичка,,,1 балкон,,,3640000,1-комн.,р-н Советский,https://kazan.cian.ru/sale/flat/245866031/,2018,,,,Без ремонта
82,46,14,14,2,Новостройка,,,,На улицу,Черновая,8770986,1-комн.,р-н Вахитовский,https://kazan.cian.ru/sale/flat/245690671/,,,1 совмещенный,,
83,18,,,3,Вторичка,,,1 балкон,,,1600000,1-комн.,р-н Вахитовский,https://kazan.cian.ru/sale/flat/240405845/,1956,,,,Косметический
84,19,,,5,Вторичка,,,1 балкон,,,1690000,"Студия,",р-н Ново,https://kazan.cian.ru/sale/flat/239289453/,1962,,,,Дизайнерский
85,92,,,5,Вторичка,,,1 балкон,,,9100000,3-комн.,р-н Ново,https://kazan.cian.ru/sale/flat/237327614/,2001,,,,Косметический
86,80,,,18,Вторичка,,,1 лоджия,,,7500000,2-комн.,р-н Вахитовский,https://kazan.cian.ru/sale/flat/242691498/,2014,,"1 совмещенный, 1 раздельный","2,5 м",Косметический
87,67,42,9,5,Вторичка,,,1 лоджия,,,5890000,3-комн.,р-н Ново,https://kazan.cian.ru/sale/flat/244016989/,1995,,,,Косметический
88,48,,,5,Вторичка,,,1 балкон,,,3575000,2-комн.,р-н Ново,https://kazan.cian.ru/sale/flat/246086985/,1963,,,,Косметический
89,34,9,16,12,Новостройка,,9.4 м²,1 балкон,Во двор,,3649575,1-комн.,р-н Советский,https://kazan.cian.ru/sale/flat/242013372/,,1,1 совмещенный,"2,6 м",
90,69,36,13,2,Новостройка,Изолированная,,1 балкон,,Черновая,6765948,2-комн.,р-н Приволжский,https://kazan.cian.ru/sale/flat/245601437/,,,1 раздельный,,
91,44,,6,4,Вторичка,,,1 балкон,,,4385000,2-комн.,р-н Вахитовский,https://kazan.cian.ru/sale/flat/246012085/,1968,,,,
92,92,50,15,3,Вторичка,Изолированная,,1 лоджия,Во двор,,7150000,3-комн.,р-н Советский,https://kazan.cian.ru/sale/flat/207109569/,2004,,1 совмещенный,"2,7 м",Евроремонт
93,66,39,12,2,Вторичка,Изолированная,22.5-16.5 м²,,На улицу и двор,,6700000,2-комн.,р-н Вахитовский,https://kazan.cian.ru/sale/flat/235868570/,,,2 раздельных,"2,76 м",Без ремонта
94,67,36,12,1,Вторичка,,,1 балкон,,,5863905,2-комн.,р-н Приволжский,https://kazan.cian.ru/sale/flat/244753086/,2020,,1 раздельный,"2,8 м",Без ремонта
95,18,6,6,1,Вторичка,,,,,,1850000,"Студия,",р-н Советский,https://kazan.cian.ru/sale/flat/246037328/,,,,"2,7 м",Евроремонт
96,33,,,4,Вторичка,,,1 балкон,,,3790000,1-комн.,р-н Вахитовский,https://kazan.cian.ru/sale/flat/245562182/,1965,,,,
97,58,10,6,13,Вторичка,,,,,,10700000,2-комн.,р-н Вахитовский,https://kazan.cian.ru/sale/flat/230504572/,2017,,,"2,7 м",
98,29,,,19,Новостройка,,,1 балкон,,,3600000,"Студия,",р-н Советский,https://kazan.cian.ru/sale/flat/242597486/,,,,,
99,12,7,3,3,Вторичка,,,,Во двор,,1150000,1-комн.,р-н Московский,https://kazan.cian.ru/sale/flat/240705369/,1967,,1 совмещенный,"2,48 м",Косметический
100,128,63,20,14,Вторичка,,22+21+20 м²,2 лоджии,На улицу и двор,,10350000,3-комн.,р-н Ново,https://kazan.cian.ru/sale/flat/205810964/,2016,,2 раздельных,"2,8 м",Евроремонт
101,28,12,6,4,Вторичка,,,1 лоджия,,,2750000,1-комн.,р-н Авиастроительный,https://kazan.cian.ru/sale/flat/244855738/,1985,,,0 м,
102,33,,,1,Вторичка,,,1 балкон,,,3700000,1-комн.,р-н Ново,https://kazan.cian.ru/sale/flat/245700695/,1994,,,,Косметический
103,66,42,9,9,Вторичка,,,,,,5600000,3-комн.,р-н Ново,https://kazan.cian.ru/sale/flat/245492725/,,,,,
104,34,,,2,Вторичка,,,1 балкон,,,2300000,"Студия,",р-н Авиастроительный,https://kazan.cian.ru/sale/flat/246086997/,,,,,Косметический
105,100,56,13,14,Новостройка,,16.36-14.62-25.28 м²,2 лоджии,На улицу и двор,Черновая,11550000,3-комн.,р-н Ново,https://kazan.cian.ru/sale/flat/242880939/,,4,1 раздельный,,
106,60,,,2,Вторичка,,,1 балкон,,,4080000,3-комн.,р-н Приволжский,https://kazan.cian.ru/sale/flat/245629713/,1976,,,,
107,83,42,11,7,Вторичка,,,1 балкон,,,6800000,3-комн.,р-н Советский,https://kazan.cian.ru/sale/flat/218029942/,2010,,1 раздельный,,
108,31,19,5,2,Вторичка,,19.2 м²,1 балкон,,,3200000,1-комн.,р-н Вахитовский,https://kazan.cian.ru/sale/flat/245550347/,,,,,Косметический
109,154,99,13,4,Вторичка,,,1 лоджия,,,13800000,3-комн.,р-н Вахитовский,https://kazan.cian.ru/sale/flat/223196987/,2003,,,,
110,33,,,6,Новостройка,,,1 балкон,,,3400000,1-комн.,р-н Приволжский,https://kazan.cian.ru/sale/flat/244092204/,,,,,
111,37,,,3,Вторичка,,,1 балкон,,,7770000,1-комн.,р-н Вахитовский,https://kazan.cian.ru/sale/flat/244410413/,,,,,Дизайнерский
112,61,45,5,5,Вторичка,,"9,2+12,7-24 м²",1 балкон,На улицу и двор,,5350000,3-комн.,р-н Вахитовский,https://kazan.cian.ru/sale/flat/245838821/,1973,,1 совмещенный,"2,5 м",Дизайнерский
113,35,,7,1,Вторичка,,"18,2 м²",1 лоджия,Во двор,,3400000,1-комн.,р-н Авиастроительный,https://kazan.cian.ru/sale/flat/246075056/,1988,,1 раздельный,,Косметический
114,48,19,11,5,Вторичка,,,"1 балкон, 1 лоджия",,,6500000,1-комн.,р-н Ново,https://kazan.cian.ru/sale/flat/245313988/,2006,,,0 м,
115,47,,,6,Вторичка,Изолированная,,1 лоджия,,,3506000,2-комн.,р-н Советский,https://kazan.cian.ru/sale/flat/238810995/,,,1 совмещенный,,Без ремонта
116,72,,,12,Вторичка,,,1 балкон,,,11300000,2-комн.,р-н Ново,https://kazan.cian.ru/sale/flat/243127110/,2011,,,,
117,33,17,12,2,Вторичка,,17.4 м²,,,,1950000,1-комн.,р-н Вахитовский,https://kazan.cian.ru/sale/flat/239242347/,1969,,1 совмещенный,,Косметический
118,13,,,7,Вторичка,,,1 балкон,,,1290000,1-комн.,р-н Приволжский,https://kazan.cian.ru/sale/flat/245700709/,1977,,,,
119,176,,,9,Вторичка,,,1 балкон,,,12000000,5-комн.,р-н Ново,https://kazan.cian.ru/sale/flat/225459246/,2015,,,,Без ремонта
120,46,28,6,5,Вторичка,Смежная,,1 балкон,,,2400000,2-комн.,р-н Московский,https://kazan.cian.ru/sale/flat/245286845/,1975,,,"2,48 м",Без ремонта
121,31,,,1,Вторичка,Изолированная,,,Во двор,,1400000,2-комн.,р-н Авиастроительный,https://kazan.cian.ru/sale/flat/238304688/,,,,"2,5 м",Косметический
122,40,11,15,5,Новостройка,,11.59 м²,1 балкон,,Черновая,5491000,1-комн.,р-н Советский,https://kazan.cian.ru/sale/flat/240244042/,,2,1 совмещенный,,
123,86,45,10,6,Вторичка,Изолированная,,2 лоджии,Во двор,,5500000,4-комн.,р-н Советский,https://kazan.cian.ru/sale/flat/246018767/,1991,,,"2,51 м",Косметический
124,44,18,13,13,Вторичка,,,1 лоджия,На улицу и двор,,4970000,1-комн.,р-н Советский,https://kazan.cian.ru/sale/flat/245861004/,2019,,1 совмещенный,,Без ремонта
